"設置位置ID","オーダーID","セクタ管理番号","ベンダー","ANT_NO","Transmitter_Name","RAN種別","BBT_CODE_加入DFGC","作業番号","帯域","BAND","BBU_sys","GPSフラグ"
"CI-05521_1","R001673009","CI-05521_00001","Ericsson","1","CI_L2G中川一色新町_1","2.1G","71-024","6415713","15MHz","2.1GHz-LTE","EA011","0"
"CI-05521_1","R001673009","CI-05521_00002","Ericsson","2","CI_L2G中川一色新町_2","2.1G","71-024","6415713","15MHz","2.1GHz-LTE","EA011","0"
"CI-05521_1","R001673009","CI-05521_00003","Ericsson","3","CI_L2G中川一色新町_3","2.1G","71-024","6415713","15MHz","2.1GHz-LTE","EA011","0"
"CI-06061_1","R001673231","CI-06061_00001","Ericsson","1","CI_L2G安城桜井西_1","2.1G","71-091","6415725","15MHz","2.1GHz-LTE","EA011","0"
"CI-06061_1","R001673231","CI-06061_00002","Ericsson","2","CI_L2G安城桜井西_2","2.1G","71-091","6415725","15MHz","2.1GHz-LTE","EA011","0"
"CI-06061_1","R001673231","CI-06061_00003","Ericsson","3","CI_L2G安城桜井西_3","2.1G","71-091","6415725","15MHz","2.1GHz-LTE","EA011","0"
"CI-06361_1","R001673207","CI-06361_00001","Ericsson","1","CI_L2G豊田亀首_1","2.1G","71-082","6407670","15MHz","2.1GHz-LTE","EA011","0"
"CI-06361_1","R001673207","CI-06361_00002","Ericsson","2","CI_L2G豊田亀首_2","2.1G","71-082","6407670","15MHz","2.1GHz-LTE","EA011","0"
"CI-06361_1","R001673207","CI-06361_00003","Ericsson","3","CI_L2G豊田亀首_3","2.1G","71-082","6407670","15MHz","2.1GHz-LTE","EA011","0"
"CI-06680_1","R001673159","CI-06680_00001","Ericsson","1","CI_L2G春日井松本_1","2.1G","71-071","6412654","15MHz","2.1GHz-LTE","EA011","0"
"CI-06680_1","R001673159","CI-06680_00002","Ericsson","2","CI_L2G春日井松本_2","2.1G","71-071","6412654","15MHz","2.1GHz-LTE","EA011","0"
"CI-06680_1","R001673159","CI-06680_00003","Ericsson","3","CI_L2G春日井松本_3","2.1G","71-071","6412654","15MHz","2.1GHz-LTE","EA011","0"
"CI-06825_1","R001673217","CI-06825_00001","Ericsson","1","CI_L2G豊田大清水_1","2.1G","71-082","6412653","15MHz","2.1GHz-LTE","EA021","0"
"CI-06825_1","R001673217","CI-06825_00002","Ericsson","2","CI_L2G豊田大清水_2","2.1G","71-082","6412653","15MHz","2.1GHz-LTE","EA021","0"
"CI-06825_1","R001673217","CI-06825_00003","Ericsson","3","CI_L2G豊田大清水_3","2.1G","71-082","6412653","15MHz","2.1GHz-LTE","EA021","0"
"CI-06826_1","R001673051","CI-06826_00001","Ericsson","1","CI_L2G豊橋大岩西_1","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-06826_1","R001673051","CI-06826_00002","Ericsson","2","CI_L2G豊橋大岩西_2","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-06826_1","R001673051","CI-06826_00003","Ericsson","3","CI_L2G豊橋大岩西_3","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-06829_1","R001673024","CI-06829_00001","Ericsson","1","CI_L2G豊橋雲谷_1","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-06829_1","R001673024","CI-06829_00002","Ericsson","2","CI_L2G豊橋雲谷_2","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-06829_1","R001673024","CI-06829_00003","Ericsson","3","CI_L2G豊橋雲谷_3","2.1G","71-045","6415727","15MHz","2.1GHz-LTE","EA011","0"
"CI-06849_1","R001673170","CI-06849_00001","Ericsson","1","CI_L2G春日井中央台北_1","2.1G","71-070","6412655","15MHz","2.1GHz-LTE","EA011","0"
"CI-06849_1","R001673170","CI-06849_00002","Ericsson","2","CI_L2G春日井中央台北_2","2.1G","71-070","6412655","15MHz","2.1GHz-LTE","EA011","0"
"CI-06849_1","R001673170","CI-06849_00003","Ericsson","3","CI_L2G春日井中央台北_3","2.1G","71-070","6412655","15MHz","2.1GHz-LTE","EA011","0"
"CI-07923_1","R001672687","CI-07923_00001","Ericsson","1","CI_L2G可児下恵土西_1","2.1G","72-051","6413985","15MHz","2.1GHz-LTE","EA011","0"
"CI-07923_1","R001672687","CI-07923_00002","Ericsson","2","CI_L2G可児下恵土西_2","2.1G","72-051","6413985","15MHz","2.1GHz-LTE","EA011","0"
"CI-07923_1","R001672687","CI-07923_00003","Ericsson","3","CI_L2G可児下恵土西_3","2.1G","72-051","6413985","15MHz","2.1GHz-LTE","EA011","0"
"CI-09102_1","R001672811","CI-09102_00001","Ericsson","1","CI_L2G浜松池町_1","2.1G","74-024","6375262","15MHz","2.1GHz-LTE","EA271","0"
"CI-09102_1","R001672811","CI-09102_00002","Ericsson","2","CI_L2G浜松池町_2","2.1G","74-024","6375262","15MHz","2.1GHz-LTE","EA271","0"
"CI-09102_1","R001672811","CI-09102_00003","Ericsson","3","CI_L2G浜松池町_3","2.1G","74-024","6375262","15MHz","2.1GHz-LTE","EA271","0"
"CI-09284_1","R001672806","CI-09284_00001","Ericsson","1","CI_L2G浜松寺島_1","2.1G","74-024","6291115","15MHz","2.1GHz-LTE","EA281","0"
"CI-09284_1","R001672806","CI-09284_00002","Ericsson","2","CI_L2G浜松寺島_2","2.1G","74-024","6291115","15MHz","2.1GHz-LTE","EA281","0"
"CI-09284_1","R001672806","CI-09284_00003","Ericsson","3","CI_L2G浜松寺島_3","2.1G","74-024","6291115","15MHz","2.1GHz-LTE","EA281","0"
"CI-09302_1","R001672833","CI-09302_00001","Ericsson","1","CI_L2G浜松金折_1","2.1G","74-063","6415716","15MHz","2.1GHz-LTE","EA011","0"
"CI-09302_1","R001672833","CI-09302_00002","Ericsson","2","CI_L2G浜松金折_2","2.1G","74-063","6415716","15MHz","2.1GHz-LTE","EA011","0"
"CI-09302_1","R001672833","CI-09302_00003","Ericsson","3","CI_L2G浜松金折_3","2.1G","74-063","6415716","15MHz","2.1GHz-LTE","EA011","0"
"CI-09312_1","R001672938","CI-09312_00001","Ericsson","1","CI_L2G掛川中央_1","2.1G","74-133","6415744","15MHz","2.1GHz-LTE","EA131","0"
"CI-09312_1","R001672938","CI-09312_00002","Ericsson","2","CI_L2G掛川中央_2","2.1G","74-133","6415744","15MHz","2.1GHz-LTE","EA131","0"
"CI-09312_1","R001672938","CI-09312_00003","Ericsson","3","CI_L2G掛川中央_3","2.1G","74-133","6415744","15MHz","2.1GHz-LTE","EA131","0"
"CI-09369_1","R001672941","CI-09369_00001","Ericsson","1","CI_L2G掛川満水_1","2.1G","74-133","6415744","15MHz","2.1GHz-LTE","EA131","0"
"CI-09552_1","R001745684","CI-09552_00001","Ericsson","1","CI_L2G浜松富塚南_1","2.1G","74-053","6412673","15MHz","2.1GHz-LTE","EA121","0"
"CI-09552_1","R001745684","CI-09552_00002","Ericsson","2","CI_L2G浜松富塚南_2","2.1G","74-053","6412673","15MHz","2.1GHz-LTE","EA121","0"
"CI-09552_1","R001745684","CI-09552_00003","Ericsson","3","CI_L2G浜松富塚南_3","2.1G","74-053","6412673","15MHz","2.1GHz-LTE","EA121","0"
